ID,Área,Tipo de institución,Área Carrera Genérica,1er año,2° año,3er año,4° año,5° año,10% inferior 1er año,25% inferior 1er año,Percentil 50 1er año,25% superior 1er año,10% superior 1er año,10% inferior 5° año,25% inferior 5° año,Percentil 50 5° año,25% superior 5° año,10% superior 5° año,Ingresos al 4° año 2020,Ingresos al 4° año 2021,Ingresos al 4° año 2022,Ingresos al 4° año 2023,Ingresos al 4° año 2024,Empleabilidad 1er año,Empleabilidad 2° año,Empleabilidad 1er año - 2020,Empleabilidad 1er año - 2021,Empleabilidad 1er año - 2022,Empleabilidad 1er año - 2023,Empleabilidad 1er año - 2024,Empleabilidad 2° año - 2020,Empleabilidad 2° año - 2021,Empleabilidad 2° año - 2022,Empleabilidad 2° año - 2023,Empleabilidad 2° año - 2024,Titulados Mujeres,Titulados Hombres,Titulados Total,Duración Formal,Duración Real,Matrícula 1er año Mujeres,Matrícula 1er año Hombres,Total Matrícula 1er año,Matrícula Total Mujeres,Matrícula Total Hombres,Matrícula Total,Retención 1er año,Retención 2° año,Municipal y Servicios Locales,Particular Subvencionado,Particular Pagado,Administración Delegada
168,Tecnología,Universidades,Ingeniería Civil Mecánica,1672484.15,2159899.97,2495391.43,2841820.21,3141787.4,782909.7,1074861.17,1444371.93,1875179.51,2770495.76,1225842.83,1784576.46,2512975.36,3493253.75,6390293.95,2521611.5,2657393.68,2819531.9,2800143.71,2916532.52,0.87,0.93,0.79,0.85,0.92,0.89,0.81,0.88,0.91,0.93,0.94,0.91,68.0,700.0,768.0,11.74,16.22,146.0,810.0,956.0,583.0,3969.0,4552.0,0.76,0.61,0.21,0.55,0.23,0.02
169,Tecnología,Universidades,Ingeniería Civil Metalúrgica,1808252.48,2626059.62,3011094.96,3508658.09,3724053.92,724266.2,977323.08,1336645.57,1989131.55,2853205.48,1085342.42,1723186.18,2803433.56,4576968.39,7882792.61,3500739.4,3142017.16,3273342.5,3402993.01,3847606.92,0.8,0.92,0.7,0.78,0.8,0.83,0.79,0.86,0.84,0.94,0.89,0.92,59.0,160.0,219.0,11.53,17.09,169.0,296.0,465.0,533.0,1176.0,1709.0,0.74,0.56,0.27,0.6,0.11,0.01
170,Tecnología,Universidades,Ingeniería Civil Química,1535618.41,1945086.93,2278799.17,2481355.55,2897831.03,671985.68,927468.7,1318280.04,1752394.21,2527592.39,1202718.2,1706923.18,2442337.31,3401392.09,5816633.48,2402212.06,2580673.84,2395806.54,2715406.3,2330576.37,0.82,0.91,0.69,0.76,0.89,0.8,0.79,0.81,0.9,0.91,0.92,0.9,177.0,213.0,390.0,11.71,15.64,295.0,301.0,596.0,1280.0,1613.0,2893.0,0.8,0.67,0.2,0.57,0.22,0.01
171,Tecnología,Universidades,"Ingeniería Civil, plan común y licenciatura en Ciencias de la Ingeniería",1492102.16,1766889.18,2035209.49,2260842.01,2522741.14,742660.13,999894.45,1340063.02,1680226.5,2015338.54,1176349.44,1663434.32,2235764.79,2895326.88,3672555.4,2071172.97,2283522.01,2395605.96,2202624.74,2204708.78,0.86,0.91,0.78,0.82,0.91,0.86,0.81,0.91,0.92,0.91,0.93,0.9,222.0,555.0,777.0,11.54,15.62,1502.0,3714.0,5216.0,5409.0,13412.0,18821.0,0.87,0.79,0.17,0.36,0.46,0.01
172,Administración y Comercio,Universidades,Ingeniería Comercial,1608643.27,1813620.52,2004606.89,2203057.25,2382233.47,690541.28,919124.88,1317859.67,1851829.54,2635132.58,881695.59,1337997.33,2008881.24,2901526.41,4049238.05,2242225.98,2262171.83,2265233.14,2165261.1,2175493.9,0.82,0.88,0.73,0.8,0.85,0.82,0.79,0.83,0.86,0.89,0.87,0.86,3506.0,4280.0,7786.0,9.98,12.29,4159.0,5844.0,10003.0,19708.0,27399.0,47107.0,0.83,0.75,0.19,0.46,0.33,0.02
173,Tecnología,Universidades,Ingeniería en Alimentos,1154875.23,1335982.01,1472293.45,1480333.45,1540420.95,589416.28,734825.52,891076.78,1177808.86,1451578.46,855831.74,1193007.8,1483281.65,2008489.66,2609172.72,1382709.61,1392909.0,1356820.53,1581577.88,1489462.28,0.74,0.81,0.7,0.78,0.79,0.76,0.69,0.73,0.84,0.86,0.82,0.75,69.0,38.0,107.0,10.51,14.59,81.0,52.0,133.0,474.0,266.0,740.0,0.72,0.59,0.33,0.56,0.09,0.02
174,Tecnología,Universidades,"Ingeniería en Automatización, Instrumentación y Control",1559995.78,1750345.13,1977632.47,2237427.54,2337978.6,733734.74,962408.89,1292801.75,1800815.19,2589740.15,1036535.79,1429044.98,2019729.98,2883976.13,4557175.36,2072649.11,2077073.23,2113158.15,2291103.54,2330826.23,0.9,0.93,0.85,0.87,0.92,0.87,0.89,0.91,0.9,0.92,0.93,0.92,12.0,205.0,217.0,8.0,13.24,18.0,100.0,118.0,88.0,834.0,922.0,0.83,0.75,0.23,0.6,0.07,0.1
175,Tecnología,Universidades,Ingeniería en Biotecnología y Bioingeniería,932698.55,1083749.61,1227459.01,1336459.82,1484242.07,557920.92,662753.99,838715.24,1076934.59,1324728.33,801436.02,966500.8,1247506.2,1869081.26,2345017.78,1498082.97,1546794.79,1217885.68,1418492.38,1380330.97,0.63,0.68,0.54,0.56,0.73,0.65,0.56,0.69,0.74,0.66,0.71,0.68,179.0,152.0,331.0,9.92,13.54,279.0,186.0,465.0,1220.0,1029.0,2249.0,0.83,0.76,0.25,0.57,0.17,0.01
176,Administración y Comercio,Universidades,Ingeniería en Comercio Exterior,1336513.26,1416436.52,1552490.31,1632796.7,2016372.24,675990.9,824109.65,1151279.12,1510170.63,2048647.53,707108.09,1013436.43,1515913.06,2236035.93,3266292.66,2090810.48,2247162.99,1528365.76,1787645.56,1602796.36,0.81,0.85,0.78,0.68,0.82,0.87,0.75,0.81,0.91,0.87,0.85,0.83,156.0,101.0,257.0,9.88,13.16,294.0,157.0,451.0,901.0,466.0,1367.0,0.8,0.7,0.22,0.63,0.11,0.04
177,Tecnología,Universidades,Ingeniería en Computación e Informática,1574562.68,1757168.35,1992789.78,2151896.84,2308593.69,651374.67,845840.57,1177109.3,1897278.24,3106401.78,957954.42,1349825.82,2022361.77,2865709.07,3902252.99,1986864.09,2127466.81,2138501.29,2173598.87,2147332.12,0.83,0.89,0.82,0.84,0.86,0.83,0.79,0.86,0.89,0.92,0.9,0.86,123.0,1078.0,1201.0,8.37,12.27,241.0,1451.0,1692.0,1077.0,6811.0,7889.0,0.79,0.69,0.28,0.59,0.09,0.04
178,Tecnología,Universidades,Ingeniería en Construcción,1253853.16,1400193.48,1505326.87,1652960.96,1772525.32,625311.16,777451.04,1046880.63,1449925.97,2161799.8,780110.69,1087899.38,1547859.78,2070654.74,2650797.57,1749083.22,1821839.51,1701473.36,1595246.39,1652665.2,0.77,0.83,0.68,0.83,0.8,0.75,0.77,0.77,0.86,0.86,0.81,0.82,271.0,1033.0,1304.0,9.83,14.05,143.0,626.0,769.0,930.0,3657.0,4587.0,0.77,0.64,0.3,0.61,0.05,0.04
179,Administración y Comercio,Universidades,Ingeniería en Control de Gestión,1524645.6,1686782.63,1850387.3,2063776.95,2330320.55,713944.44,956449.46,1325890.42,1796031.65,2469239.1,1025981.96,1402251.32,1921255.58,2730353.19,3426253.52,2204757.96,2251038.72,2248636.84,2009427.94,1929791.64,0.87,0.91,0.87,0.86,0.9,0.88,0.85,0.9,0.91,0.9,0.92,0.89,367.0,294.0,661.0,9.87,11.89,497.0,501.0,998.0,2144.0,2071.0,4215.0,0.83,0.74,0.27,0.59,0.1,0.03
