ID,Área,Tipo de institución,Área Carrera Genérica,1er año,2° año,3er año,4° año,5° año,10% inferior 1er año,25% inferior 1er año,Percentil 50 1er año,25% superior 1er año,10% superior 1er año,10% inferior 5° año,25% inferior 5° año,Percentil 50 5° año,25% superior 5° año,10% superior 5° año,Ingresos al 4° año 2020,Ingresos al 4° año 2021,Ingresos al 4° año 2022,Ingresos al 4° año 2023,Ingresos al 4° año 2024,Empleabilidad 1er año,Empleabilidad 2° año,Empleabilidad 1er año - 2020,Empleabilidad 1er año - 2021,Empleabilidad 1er año - 2022,Empleabilidad 1er año - 2023,Empleabilidad 1er año - 2024,Empleabilidad 2° año - 2020,Empleabilidad 2° año - 2021,Empleabilidad 2° año - 2022,Empleabilidad 2° año - 2023,Empleabilidad 2° año - 2024,Titulados Mujeres,Titulados Hombres,Titulados Total,Duración Formal,Duración Real,Matrícula 1er año Mujeres,Matrícula 1er año Hombres,Total Matrícula 1er año,Matrícula Total Mujeres,Matrícula Total Hombres,Matrícula Total,Retención 1er año,Retención 2° año,Municipal y Servicios Locales,Particular Subvencionado,Particular Pagado,Administración Delegada
1,Administración y Comercio,Centros de Formación Técnica,Secretariado Bilingüe,1031117.63,1096161.37,1113420.14,1136314.13,1166457.52,662930.26,761868.78,1017025.23,1458945.52,1890400.34,642466.95,822711.63,1000901.53,1522461.66,1979601.21,1072577.53,1114985.77,1052700.35,1185675.4,1223329.63,0.75,0.74,0.7,0.72,0.78,0.84,0.59,0.75,0.75,0.81,0.67,0.68,35.0,2.0,37.0,6.0,7.24,123.0,15.0,138.0,271.0,27.0,298.0,0.64,,0.21,0.63,0.13,0.03
2,Agropecuaria,Centros de Formación Técnica,Técnico Agropecuario,847957.33,884213.36,935086.08,997009.4,1031960.97,551775.46,636629.66,755239.07,958328.5,1345623.3,578708.82,700736.01,907310.65,1208672.97,1630050.08,949433.73,933116.47,981848.74,971451.7,1054268.02,0.48,0.55,0.41,0.5,0.49,0.44,0.51,0.53,0.56,0.6,0.53,0.54,515.0,579.0,1094.0,4.64,6.66,683.0,745.0,1428.0,1426.0,1639.0,3065.0,0.66,,0.49,0.42,0.02,0.07
3,Educación,Centros de Formación Técnica,Técnico Asistente del Educador de Párvulos,644643.56,669809.43,677571.67,688296.48,711830.2,524986.29,554593.76,618217.56,724572.33,846620.8,536429.87,585010.34,686243.21,798551.79,929580.46,699655.93,694307.47,674155.4,684155.83,712168.4,0.35,0.45,0.33,0.31,0.39,0.34,0.3,0.46,0.41,0.45,0.46,0.44,2495.0,6.0,2501.0,4.96,6.1,3967.0,18.0,3985.0,10206.0,30.0,10236.0,0.73,,0.52,0.44,0.01,0.04
4,Educación,Centros de Formación Técnica,Técnico Asistente del Educador Diferencial,620472.53,646878.66,655863.61,655973.66,708505.67,524841.05,558424.86,612890.6,715889.15,841847.54,535403.18,569860.32,647272.48,770455.69,955081.13,698601.51,678992.64,641607.08,649439.63,686904.64,0.32,0.44,0.28,0.23,0.33,0.35,0.29,0.5,0.37,0.39,0.45,0.47,1065.0,40.0,1105.0,5.02,6.36,1654.0,61.0,1715.0,4414.0,156.0,4570.0,0.74,,0.53,0.44,0.01,0.03
5,Salud,Centros de Formación Técnica,Técnico Dental y Asistente de Odontología,657951.29,694369.97,725072.84,764439.79,801109.65,533958.09,569096.89,625593.28,712310.5,817939.48,546146.62,632402.34,740414.74,857914.48,1027053.75,768186.18,784931.25,770936.68,747837.99,781638.75,0.54,0.59,0.29,0.56,0.61,0.53,0.45,0.4,0.59,0.61,0.59,0.59,735.0,90.0,825.0,4.98,6.13,914.0,179.0,1093.0,2478.0,392.0,2870.0,0.72,,0.47,0.49,0.01,0.04
6,Agropecuaria,Centros de Formación Técnica,Técnico en Acuicultura y Pesca,1303716.18,1361159.54,1485977.24,1431508.93,1528200.38,693679.73,856531.73,1221749.43,1599006.18,2076737.26,781243.68,975925.82,1399105.39,1755713.42,1940236.43,,,,,,0.85,0.87,,,,,,,,,,,26.0,41.0,67.0,5.0,6.61,67.0,99.0,166.0,163.0,191.0,354.0,0.84,,0.49,0.51,0.0,0.0
7,Administración y Comercio,Centros de Formación Técnica,Técnico en Administración de Empresas,971478.24,1037094.02,1094558.68,1191714.25,1266310.64,566006.52,670650.93,851123.71,1125682.98,1478676.48,627221.15,793213.79,1062349.66,1479038.79,2062575.55,1300312.33,1235201.76,1199351.8,1178421.93,1199365.78,0.62,0.68,0.59,0.65,0.63,0.62,0.6,0.66,0.69,0.73,0.66,0.67,2229.0,1172.0,3401.0,4.48,6.32,3808.0,2260.0,6068.0,7873.0,4444.0,12317.0,0.67,,0.46,0.48,0.03,0.03
8,Administración y Comercio,Centros de Formación Técnica,Técnico en Administración de Recursos Humanos y Personal,974163.3,1011203.84,1008672.51,1075790.46,1161148.83,604153.66,712399.65,895150.71,1182177.52,1587418.23,607446.14,777991.82,957174.73,1297151.6,1728551.56,1053646.6,1132616.48,1064266.9,1037239.52,1136248.8,0.69,0.72,0.62,0.67,0.7,0.69,0.69,0.64,0.69,0.76,0.72,0.7,314.0,49.0,363.0,5.0,5.93,413.0,106.0,519.0,1010.0,218.0,1228.0,0.69,,0.45,0.47,0.02,0.06
9,Administración y Comercio,Centros de Formación Técnica,Técnico en Administración Financiera y Finanzas,1295938.99,1345145.13,1252038.11,1233961.64,1327012.24,642925.53,994739.98,1219215.54,1397131.62,2247518.37,591189.12,805636.12,1048509.42,1314782.5,1752210.38,,,,,,0.81,0.8,,,,,,,,,,,43.0,43.0,86.0,4.58,5.96,0.0,0.0,0.0,4.0,4.0,8.0,0.56,,0.33,0.5,0.17,0.0
10,Ciencias Sociales,Centros de Formación Técnica,Técnico en Administración Pública o Municipal,1061381.01,1127266.98,1207581.53,1298736.68,1366383.02,604050.8,685074.54,906042.35,1198803.01,1607091.17,718208.48,916595.08,1171553.76,1672919.48,2056502.53,1175162.09,1324227.25,1375288.76,1311427.46,1234719.73,0.74,0.78,0.79,0.79,0.68,0.76,0.77,0.89,0.84,0.81,0.71,0.81,343.0,109.0,452.0,5.01,5.64,935.0,307.0,1242.0,1864.0,683.0,2547.0,0.64,,0.51,0.45,0.01,0.03
11,Administración y Comercio,Centros de Formación Técnica,Técnico en Comercio Exterior,1024401.75,1092164.68,1122973.96,1176620.47,1274966.7,648584.37,760116.69,966256.04,1282533.78,1736029.4,711503.78,875283.17,1121892.76,1459894.05,1987481.09,1231965.98,1214130.69,1184596.4,1153802.59,1188366.61,0.75,0.76,0.66,0.68,0.78,0.74,0.73,0.71,0.77,0.79,0.75,0.76,190.0,144.0,334.0,4.5,6.85,412.0,271.0,683.0,743.0,514.0,1257.0,0.67,,0.32,0.56,0.07,0.05
12,Tecnología,Centros de Formación Técnica,Técnico en Computación e Informática,1070899.07,1223995.1,1400911.44,1560873.68,1676016.46,588570.52,685054.49,884536.18,1166296.08,1773433.55,684418.77,957156.31,1446514.54,2176641.45,3080814.16,1583101.95,1471265.95,1515520.38,1600203.7,1561287.72,0.67,0.77,0.65,0.66,0.72,0.66,0.63,0.73,0.75,0.82,0.77,0.74,175.0,1101.0,1276.0,4.48,7.1,501.0,2370.0,2871.0,944.0,4970.0,5914.0,0.69,,0.41,0.51,0.04,0.04
13,Tecnología,Centros de Formación Técnica,Técnico en Construcción y Obras Civiles,1141725.66,1157124.74,1196222.4,1237889.88,1348676.49,594278.34,717641.95,988839.46,1414857.51,2036718.64,612191.66,800160.27,1100178.31,1556050.1,2168328.03,1198697.19,1232340.59,1235260.26,1220721.43,1265686.09,0.64,0.67,0.54,0.66,0.66,0.62,0.65,0.61,0.66,0.73,0.64,0.65,276.0,1038.0,1314.0,4.49,6.75,373.0,1660.0,2033.0,702.0,3445.0,4147.0,0.61,,0.48,0.46,0.01,0.06
14,Administración y Comercio,Centros de Formación Técnica,Técnico en Contabilidad General,969100.76,1039727.28,1113651.28,1232362.59,1310021.81,583911.11,670865.8,828681.53,1127728.8,1518728.42,651167.8,804817.74,1118238.99,1549527.73,2195138.24,1215815.06,1225134.18,1262826.87,1211472.42,1214452.11,0.68,0.73,0.6,0.69,0.71,0.67,0.66,0.72,0.7,0.76,0.73,0.71,543.0,266.0,809.0,4.56,6.3,593.0,342.0,935.0,1434.0,775.0,2209.0,0.73,,0.45,0.49,0.02,0.05
15,Educación,Centros de Formación Técnica,"Técnico en Deporte, Recreación y Preparación Física",800713.44,827048.09,891696.03,857457.63,934992.53,542542.67,602862.17,749367.38,946097.89,1296918.27,544796.9,643100.48,841468.53,1043953.45,1361864.33,865938.74,919185.06,847287.28,844408.73,930385.44,0.38,0.44,0.23,0.3,0.36,0.38,0.39,0.31,0.4,0.46,0.44,0.43,244.0,684.0,928.0,4.97,6.54,500.0,1641.0,2141.0,1240.0,3771.0,5011.0,0.74,,0.4,0.52,0.04,0.04
16,Tecnología,Centros de Formación Técnica,Técnico en Electricidad y Electricidad Industrial,1300868.88,1358029.39,1401813.99,1424112.12,1483159.69,635560.52,797696.31,1069166.72,1504235.0,2279857.46,737404.73,930276.58,1274233.31,1810422.55,2596820.26,1229647.78,1351910.94,1375227.19,1434720.21,1482024.26,0.78,0.81,0.67,0.76,0.79,0.77,0.79,0.73,0.79,0.81,0.81,0.8,59.0,1322.0,1381.0,4.91,6.68,271.0,3080.0,3351.0,453.0,6262.0,6715.0,0.68,,0.49,0.43,0.01,0.07
17,Tecnología,Centros de Formación Técnica,Técnico en Electrónica y Electrónica Industrial,954301.4,1060744.72,1084977.4,1212597.54,1254983.71,575339.24,644005.14,761638.13,1057111.42,1707914.36,666781.45,895312.3,1176491.87,1775000.22,2092703.27,1093497.7,1088644.77,1218385.82,1185021.29,1243955.68,0.72,0.77,0.62,0.72,0.75,0.7,0.69,0.68,0.75,0.83,0.75,0.76,2.0,69.0,71.0,4.0,6.72,5.0,90.0,95.0,9.0,153.0,162.0,0.68,,0.3,0.56,0.05,0.09
18,Salud,Centros de Formación Técnica,Técnico en Enfermería,771932.93,830292.12,868775.03,900952.89,930596.31,546853.19,609817.96,715851.88,854925.4,1016498.13,624006.48,744361.76,886788.16,1041228.56,1239402.13,894117.36,938524.44,898846.75,886796.64,925837.87,0.62,0.71,0.67,0.77,0.72,0.6,0.54,0.73,0.82,0.76,0.71,0.66,4204.0,726.0,4930.0,5.03,6.06,7749.0,1250.0,9000.0,19275.0,3313.0,22589.0,0.75,,0.48,0.48,0.01,0.04
19,Salud,Centros de Formación Técnica,Técnico en Farmacia,917186.49,959264.32,975909.94,1031249.2,1043843.74,623385.87,720177.9,889935.14,1109348.59,1319580.55,689246.18,777673.91,897368.76,1106446.37,1284613.1,1003204.02,1060800.81,1050737.49,951630.94,1051364.55,0.79,0.8,0.78,0.8,0.74,0.8,0.82,0.83,0.9,0.87,0.77,0.81,569.0,134.0,703.0,4.95,6.02,1091.0,278.0,1369.0,2621.0,629.0,3250.0,0.68,,0.43,0.52,0.01,0.04
20,Administración y Comercio,Centros de Formación Técnica,Técnico en Gastronomía y Cocina,736380.52,777620.58,792176.77,827987.39,861332.0,537586.5,586530.28,675522.35,815010.97,987776.1,550266.28,625747.58,766531.26,954277.48,1283830.64,770320.17,813714.13,818539.08,833945.27,836126.62,0.42,0.49,0.2,0.37,0.45,0.43,0.39,0.27,0.38,0.5,0.5,0.47,1674.0,1169.0,2843.0,4.27,6.49,2818.0,2081.0,4899.0,5662.0,4419.0,10081.0,0.77,,0.41,0.51,0.04,0.04
21,Ciencias Básicas,Centros de Formación Técnica,Técnico en Geominería,1150746.53,1178896.06,1360337.46,1271889.24,1374154.52,663420.13,727009.56,999083.15,1282036.62,3075950.97,749818.79,837901.62,1137214.7,1581849.9,2086257.58,,,,,,0.71,0.73,,,,,,,,,,,6.0,15.0,21.0,,,27.0,40.0,67.0,55.0,85.0,140.0,0.74,,0.44,0.49,0.06,0.01
22,Tecnología,Centros de Formación Técnica,"Técnico en Instrumentación, Automatización y Control Industrial",1283347.09,1445243.06,1521182.24,1589994.35,1724277.62,637833.66,802282.4,1087810.06,1478249.03,2122018.74,809539.13,1061413.26,1463896.9,1982531.74,2868622.1,1506205.38,1569642.43,1530422.86,1560103.3,1705845.46,0.8,0.84,0.71,0.78,0.82,0.78,0.79,0.78,0.85,0.87,0.84,0.83,55.0,696.0,751.0,4.22,7.25,132.0,826.0,958.0,236.0,1662.0,1898.0,0.66,,0.4,0.51,0.02,0.07
23,Salud,Centros de Formación Técnica,Técnico en Laboratorio Clínico,717824.14,763082.36,807895.3,848896.73,883270.02,544389.85,598669.07,663796.81,790111.83,880209.62,609751.14,724011.33,837205.98,988777.85,1182225.44,857095.74,867670.47,859253.79,829694.74,858733.87,0.61,0.71,0.55,0.73,0.69,0.62,0.53,0.64,0.81,0.79,0.66,0.72,319.0,68.0,387.0,5.0,6.04,330.0,86.0,416.0,1099.0,272.0,1371.0,0.79,,0.42,0.55,0.01,0.02
24,Administración y Comercio,Centros de Formación Técnica,Técnico en Logística,1086248.56,1168231.32,1244568.25,1342104.53,1444885.92,592497.32,723407.3,920302.66,1245642.66,1665354.78,688631.73,898520.11,1237673.29,1765322.0,2526575.89,1323193.7,1402732.41,1380481.82,1357925.5,1289232.23,0.74,0.78,0.65,0.77,0.76,0.73,0.74,0.75,0.76,0.8,0.78,0.77,473.0,626.0,1099.0,4.56,5.81,1245.0,1319.0,2564.0,2485.0,2647.0,5132.0,0.68,,0.47,0.47,0.01,0.05
25,Tecnología,Centros de Formación Técnica,Técnico en Mantenimiento Industrial,1293137.12,1369759.52,1415586.97,1475777.8,1543824.66,647730.61,808837.82,1093048.14,1505784.09,2214999.05,729498.48,949243.46,1331286.48,1755292.82,2490644.18,1492918.9,1406676.55,1490255.35,1390964.22,1598152.62,0.81,0.84,0.67,0.78,0.85,0.78,0.79,0.76,0.81,0.87,0.86,0.82,102.0,1122.0,1224.0,4.34,6.72,357.0,1939.0,2296.0,652.0,3842.0,4494.0,0.71,,0.52,0.39,0.01,0.08
26,Tecnología,Centros de Formación Técnica,Técnico en Mecánica Automotriz,1138605.95,1181260.94,1235132.75,1293449.33,1388590.51,583270.46,732385.09,1015229.37,1414206.62,1930918.67,643228.84,848509.95,1174128.93,1624732.0,2216444.93,1171991.54,1268273.24,1308038.08,1263478.43,1319516.57,0.72,0.75,0.53,0.66,0.74,0.69,0.73,0.64,0.69,0.76,0.75,0.75,104.0,1949.0,2053.0,4.07,6.91,293.0,3635.0,3928.0,524.0,6809.0,7333.0,0.69,,0.44,0.48,0.02,0.06
27,Tecnología,Centros de Formación Técnica,Técnico en Mecánica Industrial,1593345.88,1660212.47,1625273.69,1593798.0,1667794.41,633133.37,930638.09,1397111.27,2069171.5,3032876.72,696787.06,981326.01,1401514.17,1930283.92,2520974.02,1522090.31,1587555.56,1568267.84,1540162.52,1783260.73,0.88,0.87,0.68,0.9,0.92,0.87,0.84,0.79,0.85,0.86,0.89,0.85,12.0,209.0,221.0,4.98,6.45,34.0,458.0,492.0,81.0,993.0,1074.0,0.6,,0.53,0.45,0.01,0.01
28,Tecnología,Centros de Formación Técnica,Técnico en Metalurgia,1937004.29,2401453.74,2361626.33,2602564.79,2367300.75,703808.17,893223.77,1204100.86,2290875.18,3614338.57,948140.72,1164995.97,1615867.45,2563397.15,4683389.06,,,,,,0.87,0.89,0.73,0.92,0.86,0.88,0.87,0.82,0.74,0.92,0.9,0.85,44.0,48.0,92.0,4.0,7.33,64.0,53.0,117.0,107.0,95.0,202.0,0.45,,0.71,0.23,0.04,0.02
29,Tecnología,Centros de Formación Técnica,Técnico en Minería,1591180.5,1759119.47,1815577.51,1868825.69,2038466.39,643034.63,873618.95,1276351.22,2206100.48,3384227.94,730698.98,1044909.89,1510226.52,2619479.54,4413660.72,1491970.71,1883213.98,1794152.55,1783964.91,2175082.49,0.81,0.83,0.66,0.72,0.8,0.85,0.78,0.72,0.78,0.85,0.83,0.83,100.0,232.0,332.0,4.42,7.06,383.0,599.0,982.0,745.0,1123.0,1868.0,0.64,,0.56,0.39,0.02,0.04
30,Salud,Centros de Formación Técnica,Técnico en Podología,901723.8,913560.99,944935.26,894943.33,921756.78,538824.19,678739.17,832565.81,1087842.68,1481045.57,573631.31,685131.68,833471.01,1047885.52,1646585.01,877790.28,923776.42,836054.52,961173.9,906247.7,0.42,0.51,0.4,0.45,0.47,0.42,0.4,0.42,0.46,0.49,0.57,0.48,449.0,23.0,472.0,5.0,6.12,666.0,42.0,708.0,1715.0,112.0,1827.0,0.83,,0.43,0.52,0.0,0.04
31,Tecnología,Centros de Formación Técnica,Técnico en Prevención de Riesgos,1223005.52,1121425.33,1132346.71,1154534.5,1204052.33,665277.66,865267.66,1174649.2,1685083.63,2205036.86,636920.56,792590.65,1057908.59,1483415.1,2085532.09,1039088.27,1077122.91,1140063.38,1154223.3,1219124.85,0.71,0.68,0.47,0.57,0.62,0.66,0.78,0.54,0.67,0.69,0.66,0.71,74.0,86.0,160.0,4.52,8.39,684.0,442.0,1126.0,1128.0,786.0,1914.0,0.57,,0.51,0.45,0.01,0.03
32,Arte y Arquitectura,Centros de Formación Técnica,Técnico en Producción Gráfica y Multimedia,805809.35,853246.65,860556.88,874814.14,835477.3,560160.51,606452.07,741600.16,946311.79,1113342.91,550217.67,618524.26,722821.29,949079.85,1166567.3,857807.58,830676.74,951673.47,814624.76,860279.16,0.38,0.42,0.21,0.23,0.38,0.3,0.43,0.36,0.36,0.36,0.47,0.41,113.0,103.0,216.0,4.0,7.3,0.0,0.0,0.0,7.0,8.0,15.0,,,0.4,0.6,0.0,0.0
33,Ciencias Básicas,Centros de Formación Técnica,Técnico en Química (Análisis e Industrial),907317.95,1013821.07,1038414.5,1118995.94,1202042.64,611810.89,700544.97,792424.65,988751.71,1529946.58,679014.53,842232.52,1031801.69,1303872.39,1536969.63,1124151.25,1181265.68,1117353.34,1116317.87,1125553.04,0.76,0.81,0.63,0.78,0.76,0.78,0.72,0.69,0.7,0.81,0.8,0.83,43.0,23.0,66.0,5.07,8.82,70.0,37.0,107.0,170.0,98.0,268.0,0.77,,0.31,0.5,0.03,0.17
34,Salud,Centros de Formación Técnica,Técnico en Radiología y Radioterapia,762119.85,831151.9,843270.93,873354.43,906970.16,600193.63,688354.32,748349.05,865996.22,968898.02,639148.19,733888.68,918256.61,1050233.07,1215148.74,842721.14,898953.2,811878.27,887958.48,895352.04,0.71,0.76,0.55,0.77,0.74,0.84,0.6,0.7,0.91,0.74,0.77,0.78,43.0,15.0,58.0,5.0,5.59,50.0,26.0,76.0,155.0,63.0,218.0,0.63,,0.36,0.57,0.01,0.06
35,Tecnología,Centros de Formación Técnica,Técnico en Refrigeración y Climatización,1051434.61,1056250.93,1137021.66,1196739.85,1239814.04,655125.55,749487.74,958409.56,1286547.88,1637671.93,628621.31,772890.54,1025732.28,1363327.0,2175439.19,1120706.89,1216314.88,1214906.97,1054631.48,1406269.26,0.73,0.84,0.56,0.84,0.75,0.57,0.82,0.72,0.77,0.82,0.88,0.78,6.0,88.0,94.0,4.22,7.04,8.0,279.0,287.0,19.0,469.0,488.0,0.67,,0.38,0.52,0.01,0.09
36,Ciencias Sociales,Centros de Formación Técnica,Técnico en Servicio Social,816250.32,817256.41,808572.64,858348.21,899060.15,540387.09,603091.98,728287.07,925571.19,1260391.62,578297.46,651603.87,806274.52,1102175.12,1400988.22,809038.57,836935.97,864520.52,858596.84,853556.76,0.45,0.51,0.44,0.41,0.44,0.47,0.45,0.57,0.51,0.53,0.51,0.49,735.0,104.0,839.0,5.0,5.76,1196.0,201.0,1397.0,3067.0,479.0,3546.0,0.68,,0.51,0.46,0.01,0.03
37,Tecnología,Centros de Formación Técnica,Técnico en Telecomunicaciones,1109263.18,1118686.72,1167786.54,1267322.11,1335674.42,637478.12,743425.27,1044338.95,1451932.94,2217204.0,713352.23,888257.95,1166539.13,1605826.93,2306597.84,1141901.96,1223214.94,1203341.37,1244947.88,1418731.08,0.74,0.81,0.64,0.76,0.75,0.73,0.75,0.73,0.79,0.86,0.79,0.79,24.0,252.0,276.0,4.0,7.67,41.0,198.0,239.0,63.0,438.0,501.0,0.7,,0.34,0.55,0.04,0.07
38,Tecnología,Centros de Formación Técnica,Técnico en Topografía,1100914.5,1126007.05,1257151.07,1317909.12,1417889.63,625224.56,760646.91,1031874.14,1389211.08,2054468.14,658183.38,895320.04,1277952.1,1797269.87,2268013.68,1206458.89,1383044.16,1344969.61,1345286.18,1223984.18,0.64,0.7,0.57,0.68,0.68,0.6,0.63,0.69,0.76,0.73,0.71,0.67,78.0,272.0,350.0,4.47,6.93,72.0,253.0,325.0,172.0,624.0,796.0,0.71,,0.46,0.49,0.02,0.03
39,Administración y Comercio,Centros de Formación Técnica,Técnico en Turismo y Hotelería,740145.9,769889.36,792098.25,811174.19,874596.87,537911.37,588297.58,700121.3,854998.46,1075733.65,551173.76,625350.68,786543.6,983712.59,1276618.4,903535.39,849542.62,791160.17,800695.26,851761.94,0.41,0.46,0.18,0.28,0.42,0.39,0.41,0.22,0.33,0.47,0.45,0.47,415.0,204.0,619.0,4.39,7.25,752.0,362.0,1114.0,1433.0,733.0,2166.0,0.72,,0.42,0.52,0.03,0.03
40,Derecho,Centros de Formación Técnica,Técnico Jurídico,844351.3,891181.89,911715.35,939242.97,1002807.08,546350.89,647657.29,795860.88,972799.5,1222337.77,581588.97,712452.4,955617.59,1203767.75,1475472.36,1021712.53,1012545.4,915119.53,963760.99,945112.51,0.5,0.59,0.37,0.58,0.51,0.5,0.5,0.61,0.57,0.63,0.57,0.59,202.0,59.0,261.0,5.0,6.33,297.0,74.0,371.0,773.0,222.0,995.0,0.69,,0.4,0.56,0.01,0.03
41,Salud,Centros de Formación Técnica,Técnico Laboratorista Dental,703439.61,771559.7,782356.87,800264.16,859586.91,542142.96,551182.55,654263.46,795830.11,962878.89,536937.59,631006.97,757906.33,957999.04,1223139.48,,,,,,0.45,0.54,0.17,0.52,0.54,0.53,0.3,0.2,0.49,0.52,0.53,0.56,113.0,38.0,151.0,5.0,6.18,214.0,46.0,260.0,534.0,131.0,665.0,0.81,,0.42,0.54,0.01,0.03
42,Agropecuaria,Centros de Formación Técnica,Técnico Veterinario,710402.4,743008.82,796762.79,814304.68,839575.52,539581.95,582714.22,676609.57,793325.62,994324.84,537058.04,597888.3,771503.35,900722.51,1165615.78,878304.88,838614.94,818054.26,822541.72,791405.12,0.43,0.51,0.39,0.39,0.49,0.44,0.38,0.5,0.61,0.54,0.52,0.49,512.0,127.0,639.0,5.0,6.42,1053.0,284.0,1337.0,2598.0,697.0,3295.0,0.79,,0.42,0.51,0.01,0.06
43,Arte y Arquitectura,Institutos Profesionales,Actuación y Teatro,657984.35,756370.39,727385.18,849781.59,868899.92,525282.13,589286.87,619585.67,773059.43,857990.36,601075.26,746143.42,914794.63,1094691.74,1293080.0,,,,,,0.21,0.29,,,,,,,,,,,37.0,29.0,66.0,8.0,9.51,67.0,25.0,92.0,290.0,155.0,445.0,0.73,0.64,0.25,0.6,0.12,0.03
44,Administración y Comercio,Institutos Profesionales,Administración de Empresas e Ing. Asociadas,1328109.43,1407779.19,1480551.81,1547073.65,1602418.72,642370.25,822466.48,1127918.96,1633879.29,2320862.85,736592.08,979947.65,1377976.51,1946927.95,2626144.42,1490117.3,1585065.74,1538763.4,1526866.9,1575611.87,0.81,0.84,0.78,0.81,0.82,0.81,0.8,0.81,0.84,0.86,0.84,0.83,3073.0,1467.0,4540.0,8.06,10.19,4262.0,2552.0,6814.0,16933.0,9739.0,26672.0,0.71,0.56,0.42,0.5,0.03,0.05
45,Administración y Comercio,Institutos Profesionales,Administración Gastronómica,732455.71,768802.32,854799.87,941593.06,954519.32,541527.02,590569.48,681815.69,819401.63,1025328.39,563981.02,647793.39,806389.43,1140025.35,1542821.45,931445.81,867420.79,900148.26,963505.91,968037.1,0.5,0.56,0.2,0.47,0.51,0.5,0.48,0.31,0.48,0.6,0.53,0.57,609.0,464.0,1073.0,8.0,10.42,978.0,775.0,1753.0,4425.0,3715.0,8140.0,0.85,0.73,0.32,0.56,0.07,0.05
46,Ciencias Sociales,Institutos Profesionales,Administración Pública,1856173.38,1956289.86,2041868.67,2136592.52,2170176.14,1021348.88,1298770.32,1695833.2,2154539.29,2660995.03,1295023.05,1726353.47,2053074.4,2473737.45,2853524.7,2190405.97,2210602.7,2117528.46,2107958.11,2166083.1,0.98,0.99,0.99,0.99,0.99,0.97,0.98,0.99,0.99,0.99,0.99,0.98,531.0,292.0,823.0,8.05,9.12,1122.0,715.0,1837.0,3902.0,2516.0,6418.0,0.75,0.62,0.43,0.5,0.02,0.05
47,Administración y Comercio,Institutos Profesionales,Administración Turística y Hotelera,754158.78,827941.93,914383.6,988994.56,1046499.6,543904.02,598591.0,741498.84,903640.56,1067087.44,567950.46,676673.31,931999.75,1213005.42,1648119.68,938636.05,965101.71,934110.28,987242.38,1061425.3,0.48,0.57,0.18,0.31,0.5,0.47,0.48,0.33,0.43,0.57,0.57,0.56,673.0,263.0,936.0,8.0,10.06,753.0,312.0,1065.0,2701.0,1382.0,4083.0,0.82,0.72,0.29,0.61,0.06,0.04
48,Arte y Arquitectura,Institutos Profesionales,Animación Digital,852936.46,912238.09,981700.87,1017908.43,1099595.91,573400.85,657952.33,799039.06,892752.31,1207800.75,640352.73,709004.71,912775.85,1137899.22,1848049.13,,,,,,0.34,0.46,0.4,0.48,0.36,0.34,0.34,0.39,0.44,0.6,0.47,0.35,123.0,84.0,207.0,8.0,10.13,281.0,222.0,503.0,1003.0,943.0,1946.0,0.85,0.69,0.25,0.61,0.09,0.04
49,Arte y Arquitectura,Institutos Profesionales,Comunicación Audiovisual y/o Multimedia,795409.8,885977.58,996242.36,1052418.48,1107772.72,564884.98,654171.83,772728.68,956696.51,1206630.84,621312.71,754544.22,988306.53,1359550.42,1748469.26,1025615.64,989680.8,1055492.3,1055761.84,1043880.55,0.47,0.57,0.33,0.46,0.51,0.54,0.38,0.44,0.55,0.57,0.57,0.57,213.0,250.0,463.0,8.0,9.39,268.0,347.0,615.0,860.0,1506.0,2366.0,0.82,0.73,0.29,0.6,0.07,0.04
50,Tecnología,Institutos Profesionales,Construcción Civil,1249929.53,1371953.23,1466100.26,1576831.96,1657579.23,613105.38,755149.61,1023552.69,1408005.81,2014278.84,698391.98,1022160.84,1443468.23,2041406.45,2783483.95,1512512.03,1597824.6,1625672.6,1554558.51,1549485.99,0.74,0.78,0.7,0.77,0.76,0.74,0.71,0.77,0.8,0.81,0.77,0.76,327.0,1163.0,1490.0,8.01,11.44,397.0,1595.0,1992.0,1774.0,7364.0,9138.0,0.68,0.55,0.41,0.5,0.01,0.07
51,Administración y Comercio,Institutos Profesionales,Contador Auditor,1236725.04,1322219.7,1423625.43,1511980.79,1617556.43,634072.93,769965.77,999393.46,1414951.8,2046856.14,761612.94,1022771.29,1432589.56,1966288.34,2638966.1,1532369.37,1571739.85,1517422.45,1529978.09,1484242.25,0.84,0.86,0.8,0.81,0.84,0.86,0.82,0.82,0.86,0.87,0.86,0.86,1372.0,720.0,2092.0,8.21,10.07,1953.0,1192.0,3145.0,8041.0,4895.0,12936.0,0.75,0.63,0.35,0.56,0.02,0.08
52,Arte y Arquitectura,Institutos Profesionales,Diseño de Ambientes e Interiores,796957.72,835788.04,955140.78,974895.04,1104677.44,549213.04,605914.12,730246.21,869103.11,1062460.08,575993.6,705619.17,966879.89,1169643.16,1898691.59,987471.76,1136611.28,996011.1,979748.63,932913.27,0.45,0.52,0.32,0.33,0.49,0.34,0.49,0.51,0.46,0.56,0.57,0.44,128.0,15.0,143.0,8.0,9.74,274.0,50.0,324.0,817.0,129.0,946.0,0.84,0.76,0.21,0.63,0.12,0.04
